"State","Abbreviation","Status 1-5","Num. of Reps"
"Alabama","AL",1,7
"Alaska","AK",1,1
"Arizona","AZ",1,9
"Arkansas","AR",1,4
"California","CA",5,53
"Colorado","CO",3,7
"Connecticut","CT",5,5
"Delaware","DE",5,1
"District of Columbia","DC",5,0
"Florida","FL",3,27
"Georgia","GA",1,14
"Hawaii","HI",5,2
"Idaho","ID",1,2
"Illinois","IL",5,18
"Indiana","IN",2,9
"Iowa","IA",4,4
"Kansas","KS",1,4
"Kentucky","KY",1,6
"Louisiana","LA",1,6
"Maine","ME",5,2
"Maryland","MD",5,8
"Massachusetts","MA",5,9
"Michigan","MI",5,14
"Minnesota","MN",5,8
"Mississippi","MS",1,4
"Missouri","MO",1,8
"Montana","MT",1,8,1
"Nebraska","NE",1,9,3
"Nevada","NV",3,4
"New Hampshire","NH",4,2
"New Jersey","NJ",5,12
"New Mexico","NM",4,3
"New York","NY",5,27
"North Carolina","NC",2,13
"North Dakota","ND",1,1
"Ohio","OH",3,16
"Oklahoma","OK",1,5
"Oregon","OR",5,5
"Pennsylvania","PA",5,18
"Rhode Island","RI",5,2
"South Carolina","SC",1,7
"South Dakota","SD",1,1
"Tennessee","TN",1,9
"Texas","TX",1,36
"Utah","UT",1,4
"Vermont","VT",5,1
"Virginia","VA",3,11
"Washington","WA",5,10
"West Virginia","WV",1,3
"Wisconsin","WI",5,8
"Wyoming","WY",1,1
